id,enunciado,opcao,texto_alternativa,resposta
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",A,"não responderá criminalmente, já que o Poder Público não suportou qualquer prejuízo, afastando-se a tipicidade material da conduta.",C
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",B,"responderá pelo crime de violação de sigilo funcional, na modalidade simples, com a incidência de uma causa de aumento de pena.",C
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",C,"não responderá criminalmente, na medida em que o crime de violação de sigilo funcional não admite a modalidade culposa.",C
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",D,"responderá pelo crime de violação de sigilo funcional, na modalidade qualificada, sem causas de aumento de pena.",C
pc2025_01_pn_32,"Caio, servidor público no Estado Alfa, revelou ao seu irmão, por meio de conduta negligente, fato de que tinha ciência em razão do cargo e que deveria permanecer em segredo. Registre-se que, em razão da conduta perpetrada por Caio, a Administração Pública não sofreu qualquer prejuízo. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio",E,"responderá pelo crime de violação de sigilo funcional, na modalidade simples, sem causas de aumento de pena.",C
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",A,"três investigações vinculadas a crimes hediondos, envolvendo a lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino, a extorsão qualificada pela restrição da liberdade da vítima e o roubo circunstanciado pelo emprego de arma branca.",D
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",B,"duas investigações vinculadas a crimes hediondos, envolvendo a extorsão qualificada pela restrição da liberdade da vítima e o roubo circunstanciado pelo emprego de arma branca.",D
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",C,"duas investigações vinculadas a crimes hediondos, envolvendo a lesão corporal de natureza grave, praticada em novembro de 2025, nas dependências de instituição de ensino e a extorsão qualificada pela restrição da liberdade da vítima.",D
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",D,"uma investigação vinculada a crime hediondo, envolvendo a lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino.",D
pc2025_01_pn_33,"Lucas, investigador de polícia, atua, concomitantemente, em três complexas investigações, envolvendo os seguintes delitos: I. lesão corporal de natureza grave, praticada, em novembro de 2025, nas dependências de instituição de ensino; II. roubo circunstanciado pelo emprego de arma branca; III. extorsão qualificada pela restrição da liberdade da vítima. Nesse cenário, considerando as disposições da Lei no 8.072/1990, é correto afirmar que Lucas participa de",E,"uma investigação vinculada a crime hediondo, envolvendo a extorsão qualificada pela restrição da liberdade da vítima.",D
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",A,"fechado, ficando sujeito a trabalho em comum durante o período diurno, em colônia agrícola, industrial ou estabelecimento similar.",D
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",B,"semiaberto, ficando sujeito a trabalho em comum durante o período diurno, em colônia agrícola, industrial ou estabelecimento similar.",D
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",C,"aberto, ficando sujeito a trabalho em comum durante o período diurno, em colônia agrícola, industrial ou estabelecimento similar.",D
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",D,"fechado, ficando sujeito a trabalho no período diurno e a isolamento durante o repouso noturno.",D
pc2025_01_pn_34,"Caio, multirreincidente em crime doloso, foi condenado, definitivamente, pela prática de determinada infração penal, ao cumprimento de seis anos de detenção, além do pagamento de multa. Registre-se que, na primeira fase da dosimetria da pena, o juízo considerou a presença de três circunstâncias judiciais desfavoráveis. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Caio iniciará o cumprimento da pena em regime",E,"semiaberto, ficando sujeito a trabalho fora do estabelecimento e sem vigilância.",D
pc2025_01_pn_35,"João realizou publicação de natureza jornalística, em revista de grande circulação, contendo cenas de nudez de Maria, com a adoção de recurso que impossibilitou, por completo, a identificação da mulher. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de João não caracteriza crime em razão da existência de causa (de)",A,excludente de culpabilidade.,A
pc2025_01_pn_35,"João realizou publicação de natureza jornalística, em revista de grande circulação, contendo cenas de nudez de Maria, com a adoção de recurso que impossibilitou, por completo, a identificação da mulher. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de João não caracteriza crime em razão da existência de causa (de)",B,excludente de tipicidade.,A
pc2025_01_pn_35,"João realizou publicação de natureza jornalística, em revista de grande circulação, contendo cenas de nudez de Maria, com a adoção de recurso que impossibilitou, por completo, a identificação da mulher. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de João não caracteriza crime em razão da existência de causa (de)",C,extintiva da punibilidade.,A
pc2025_01_pn_35,"João realizou publicação de natureza jornalística, em revista de grande circulação, contendo cenas de nudez de Maria, com a adoção de recurso que impossibilitou, por completo, a identificação da mulher. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de João não caracteriza crime em razão da existência de causa (de)",D,excludente de ilicitude.,A
pc2025_01_pn_35,"João realizou publicação de natureza jornalística, em revista de grande circulação, contendo cenas de nudez de Maria, com a adoção de recurso que impossibilitou, por completo, a identificação da mulher. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de João não caracteriza crime em razão da existência de causa (de)",E,isenção de pena.,A
pc2025_01_pn_36,"Após ser provocado, de forma reprovável, por Caio, o particular Matheus, extremamente irritado, acabou por ofendê-lo, por meio de palavras depreciativas e de baixo calão. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de Matheus",A,"não é considerada crime, já que o agente foi previamente provocado, de forma reprovável, por Caio.",A
pc2025_01_pn_36,"Após ser provocado, de forma reprovável, por Caio, o particular Matheus, extremamente irritado, acabou por ofendê-lo, por meio de palavras depreciativas e de baixo calão. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de Matheus",B,"caracteriza o crime de injúria, sendo certo que o juiz deverá aplicar as penas previstas no tipo penal.",A
pc2025_01_pn_36,"Após ser provocado, de forma reprovável, por Caio, o particular Matheus, extremamente irritado, acabou por ofendê-lo, por meio de palavras depreciativas e de baixo calão. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de Matheus",C,"caracteriza o crime de injúria, mas o juiz poderá deixar de aplicar a pena.",A
pc2025_01_pn_36,"Após ser provocado, de forma reprovável, por Caio, o particular Matheus, extremamente irritado, acabou por ofendê-lo, por meio de palavras depreciativas e de baixo calão. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de Matheus",D,"caracteriza o crime de difamação, mas o juiz poderá deixar de aplicar a pena.",A
pc2025_01_pn_36,"Após ser provocado, de forma reprovável, por Caio, o particular Matheus, extremamente irritado, acabou por ofendê-lo, por meio de palavras depreciativas e de baixo calão. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que a conduta de Matheus",E,é formal e materialmente atípica.,A
pc2025_01_pn_37,"Após a observância do contraditório e da ampla defesa, como consectários do devido processo legal, Caio foi condenado, definitivamente, pela prática do crime de abuso de autoridade. Nesse cenário, considerando as disposições da Lei no 13.869/2019, tem-se, como efeito da condenação, a",A,"inabilitação para o exercício de cargo, mandato ou função pública, pelo período de um a cinco anos. Registre-se que o referido efeito está condicionado à ocorrência de reincidência em crime de abuso de autoridade e não é automático, devendo ser declarado motivadamente na sentença.",C
pc2025_01_pn_37,"Após a observância do contraditório e da ampla defesa, como consectários do devido processo legal, Caio foi condenado, definitivamente, pela prática do crime de abuso de autoridade. Nesse cenário, considerando as disposições da Lei no 13.869/2019, tem-se, como efeito da condenação, a",B,"inabilitação para o exercício de cargo, mandato ou função pública, pelo período de dois a oito anos. Registre-se que o referido efeito está condicionado à ocorrência de reincidência em crime de abuso de autoridade e não é automático, devendo ser declarado motivadamente na sentença.",C
pc2025_01_pn_37,"Após a observância do contraditório e da ampla defesa, como consectários do devido processo legal, Caio foi condenado, definitivamente, pela prática do crime de abuso de autoridade. Nesse cenário, considerando as disposições da Lei no 13.869/2019, tem-se, como efeito da condenação, a",C,"inabilitação para o exercício de cargo, mandato ou função pública, pelo período de um a cinco anos. Registre-se que o referido efeito independe da reincidência em crime de abuso de autoridade, mas não é automático, devendo ser declarado motivadamente na sentença.",C
pc2025_01_pn_37,"Após a observância do contraditório e da ampla defesa, como consectários do devido processo legal, Caio foi condenado, definitivamente, pela prática do crime de abuso de autoridade. Nesse cenário, considerando as disposições da Lei no 13.869/2019, tem-se, como efeito da condenação, a",D,"perda do cargo, do mandato ou da função pública. Registre-se que o referido efeito, de natureza automática, está condicionado à ocorrência de reincidência em crime de abuso de autoridade.",C
pc2025_01_pn_37,"Após a observância do contraditório e da ampla defesa, como consectários do devido processo legal, Caio foi condenado, definitivamente, pela prática do crime de abuso de autoridade. Nesse cenário, considerando as disposições da Lei no 13.869/2019, tem-se, como efeito da condenação, a",E,"perda do cargo, do mandato ou da função pública. Registre-se que o referido efeito, de natureza automática, independe da reincidência em crime de abuso de autoridade.",C
pc2025_01_pn_38,"Lucas, investigador de polícia, participou de complexa investigação, no âmbito da qual apurou-se a prática de crime previsto no Estatuto da Criança e do Adolescente por parte do servidor público João, em detrimento de Caio, infante com seis anos de idade. Nesse cenário, considerando as disposições da Lei no 8.069/1990, avalie as afirmativas a seguir e assinale (V) para verdadeira e (F) para falsa. ( ) Aos crimes cometidos contra a criança e o adolescente, independentemente da pena prevista, não se aplicam os ditames da Lei dos Juizados Especiais Criminais. ( ) Nos casos de violência doméstica e familiar contra a criança e o adolescente, é vedada a aplicação de penas de cesta básica ou de outras de prestação pecuniária, bem como a substituição de pena que implique o pagamento isolado de multa. ( ) A perda do cargo público, como efeito da condenação por crime previsto no Estatuto da Criança e do Adolescente, praticado por servidor público com abuso de autoridade, independe da ocorrência de reincidência. As afirmativas são, respectivamente,",A,F – V – F.,A
pc2025_01_pn_38,"Lucas, investigador de polícia, participou de complexa investigação, no âmbito da qual apurou-se a prática de crime previsto no Estatuto da Criança e do Adolescente por parte do servidor público João, em detrimento de Caio, infante com seis anos de idade. Nesse cenário, considerando as disposições da Lei no 8.069/1990, avalie as afirmativas a seguir e assinale (V) para verdadeira e (F) para falsa. ( ) Aos crimes cometidos contra a criança e o adolescente, independentemente da pena prevista, não se aplicam os ditames da Lei dos Juizados Especiais Criminais. ( ) Nos casos de violência doméstica e familiar contra a criança e o adolescente, é vedada a aplicação de penas de cesta básica ou de outras de prestação pecuniária, bem como a substituição de pena que implique o pagamento isolado de multa. ( ) A perda do cargo público, como efeito da condenação por crime previsto no Estatuto da Criança e do Adolescente, praticado por servidor público com abuso de autoridade, independe da ocorrência de reincidência. As afirmativas são, respectivamente,",B,V – V – F.,A
pc2025_01_pn_38,"Lucas, investigador de polícia, participou de complexa investigação, no âmbito da qual apurou-se a prática de crime previsto no Estatuto da Criança e do Adolescente por parte do servidor público João, em detrimento de Caio, infante com seis anos de idade. Nesse cenário, considerando as disposições da Lei no 8.069/1990, avalie as afirmativas a seguir e assinale (V) para verdadeira e (F) para falsa. ( ) Aos crimes cometidos contra a criança e o adolescente, independentemente da pena prevista, não se aplicam os ditames da Lei dos Juizados Especiais Criminais. ( ) Nos casos de violência doméstica e familiar contra a criança e o adolescente, é vedada a aplicação de penas de cesta básica ou de outras de prestação pecuniária, bem como a substituição de pena que implique o pagamento isolado de multa. ( ) A perda do cargo público, como efeito da condenação por crime previsto no Estatuto da Criança e do Adolescente, praticado por servidor público com abuso de autoridade, independe da ocorrência de reincidência. As afirmativas são, respectivamente,",C,F – V – V.,A
pc2025_01_pn_38,"Lucas, investigador de polícia, participou de complexa investigação, no âmbito da qual apurou-se a prática de crime previsto no Estatuto da Criança e do Adolescente por parte do servidor público João, em detrimento de Caio, infante com seis anos de idade. Nesse cenário, considerando as disposições da Lei no 8.069/1990, avalie as afirmativas a seguir e assinale (V) para verdadeira e (F) para falsa. ( ) Aos crimes cometidos contra a criança e o adolescente, independentemente da pena prevista, não se aplicam os ditames da Lei dos Juizados Especiais Criminais. ( ) Nos casos de violência doméstica e familiar contra a criança e o adolescente, é vedada a aplicação de penas de cesta básica ou de outras de prestação pecuniária, bem como a substituição de pena que implique o pagamento isolado de multa. ( ) A perda do cargo público, como efeito da condenação por crime previsto no Estatuto da Criança e do Adolescente, praticado por servidor público com abuso de autoridade, independe da ocorrência de reincidência. As afirmativas são, respectivamente,",D,V – V – V.,A
pc2025_01_pn_38,"Lucas, investigador de polícia, participou de complexa investigação, no âmbito da qual apurou-se a prática de crime previsto no Estatuto da Criança e do Adolescente por parte do servidor público João, em detrimento de Caio, infante com seis anos de idade. Nesse cenário, considerando as disposições da Lei no 8.069/1990, avalie as afirmativas a seguir e assinale (V) para verdadeira e (F) para falsa. ( ) Aos crimes cometidos contra a criança e o adolescente, independentemente da pena prevista, não se aplicam os ditames da Lei dos Juizados Especiais Criminais. ( ) Nos casos de violência doméstica e familiar contra a criança e o adolescente, é vedada a aplicação de penas de cesta básica ou de outras de prestação pecuniária, bem como a substituição de pena que implique o pagamento isolado de multa. ( ) A perda do cargo público, como efeito da condenação por crime previsto no Estatuto da Criança e do Adolescente, praticado por servidor público com abuso de autoridade, independe da ocorrência de reincidência. As afirmativas são, respectivamente,",E,F – F – F.,A
pc2025_01_pn_39,"Matheus, agindo com dolo, vem perseguindo, de forma reiterada, a sua ex-companheira Maria. Registre-se que Matheus está ameaçando a sua integridade física por meio do emprego de arma de fogo. O agente assim atua, invadindo a esfera de liberdade da vítima, com o propósito de reatar o relacionamento de outrora. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Matheus incorrerá no crime de perseguição",A,"simples, com a incidência de duas causas de aumento de pena, sujeito à ação penal pública condicionada à representação da vítima.",E
pc2025_01_pn_39,"Matheus, agindo com dolo, vem perseguindo, de forma reiterada, a sua ex-companheira Maria. Registre-se que Matheus está ameaçando a sua integridade física por meio do emprego de arma de fogo. O agente assim atua, invadindo a esfera de liberdade da vítima, com o propósito de reatar o relacionamento de outrora. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Matheus incorrerá no crime de perseguição",B,"simples, com a incidência de duas causas de aumento de pena, sujeito à ação penal pública incondicionada.",E
pc2025_01_pn_39,"Matheus, agindo com dolo, vem perseguindo, de forma reiterada, a sua ex-companheira Maria. Registre-se que Matheus está ameaçando a sua integridade física por meio do emprego de arma de fogo. O agente assim atua, invadindo a esfera de liberdade da vítima, com o propósito de reatar o relacionamento de outrora. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Matheus incorrerá no crime de perseguição",C,"qualificado, com a incidência de uma causa de aumento de pena, sujeito à ação penal pública incondicionada.",E
pc2025_01_pn_39,"Matheus, agindo com dolo, vem perseguindo, de forma reiterada, a sua ex-companheira Maria. Registre-se que Matheus está ameaçando a sua integridade física por meio do emprego de arma de fogo. O agente assim atua, invadindo a esfera de liberdade da vítima, com o propósito de reatar o relacionamento de outrora. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Matheus incorrerá no crime de perseguição",D,"duplamente qualificado, sujeito à ação penal pública condicionada à representação da vítima.",E
pc2025_01_pn_39,"Matheus, agindo com dolo, vem perseguindo, de forma reiterada, a sua ex-companheira Maria. Registre-se que Matheus está ameaçando a sua integridade física por meio do emprego de arma de fogo. O agente assim atua, invadindo a esfera de liberdade da vítima, com o propósito de reatar o relacionamento de outrora. Nesse cenário, considerando as disposições do Código Penal, é correto afirmar que Matheus incorrerá no crime de perseguição",E,"duplamente qualificado, sujeito à ação penal pública incondicionada.",E
pc2025_01_pn_40,"Após o conturbado término da sua relação conjugal, Maria obteve, em juízo, medidas protetivas de urgência em detrimento de Caio, seu ex-marido, proibindo-o de ter qualquer tipo de contato ou aproximação, físico ou virtual, com a ofendida. Contudo, agindo dolosamente, Caio dela se aproximou, buscando a reconciliação do casal. Caracterizou-se, assim, o crime de descumprimento de medida protetiva de urgência. De acordo com a narrativa e considerando as disposições da Lei no 11.340/2006, analise as afirmativas a seguir: I. A configuração do crime independe da competência civil ou criminal do juiz que deferiu as medidas. II. Por se tratar de crime praticado no contexto de violência doméstica e familiar contra a mulher, trata-se de infração penal inafiançável. III. A ação penal, no caso, é pública condicionada à representação da ofendida. Está correto o que se afirma em",A,"I, apenas.",B
pc2025_01_pn_40,"Após o conturbado término da sua relação conjugal, Maria obteve, em juízo, medidas protetivas de urgência em detrimento de Caio, seu ex-marido, proibindo-o de ter qualquer tipo de contato ou aproximação, físico ou virtual, com a ofendida. Contudo, agindo dolosamente, Caio dela se aproximou, buscando a reconciliação do casal. Caracterizou-se, assim, o crime de descumprimento de medida protetiva de urgência. De acordo com a narrativa e considerando as disposições da Lei no 11.340/2006, analise as afirmativas a seguir: I. A configuração do crime independe da competência civil ou criminal do juiz que deferiu as medidas. II. Por se tratar de crime praticado no contexto de violência doméstica e familiar contra a mulher, trata-se de infração penal inafiançável. III. A ação penal, no caso, é pública condicionada à representação da ofendida. Está correto o que se afirma em",B,"II, apenas.",B
pc2025_01_pn_40,"Após o conturbado término da sua relação conjugal, Maria obteve, em juízo, medidas protetivas de urgência em detrimento de Caio, seu ex-marido, proibindo-o de ter qualquer tipo de contato ou aproximação, físico ou virtual, com a ofendida. Contudo, agindo dolosamente, Caio dela se aproximou, buscando a reconciliação do casal. Caracterizou-se, assim, o crime de descumprimento de medida protetiva de urgência. De acordo com a narrativa e considerando as disposições da Lei no 11.340/2006, analise as afirmativas a seguir: I. A configuração do crime independe da competência civil ou criminal do juiz que deferiu as medidas. II. Por se tratar de crime praticado no contexto de violência doméstica e familiar contra a mulher, trata-se de infração penal inafiançável. III. A ação penal, no caso, é pública condicionada à representação da ofendida. Está correto o que se afirma em",C,"III, apenas.",B
pc2025_01_pn_40,"Após o conturbado término da sua relação conjugal, Maria obteve, em juízo, medidas protetivas de urgência em detrimento de Caio, seu ex-marido, proibindo-o de ter qualquer tipo de contato ou aproximação, físico ou virtual, com a ofendida. Contudo, agindo dolosamente, Caio dela se aproximou, buscando a reconciliação do casal. Caracterizou-se, assim, o crime de descumprimento de medida protetiva de urgência. De acordo com a narrativa e considerando as disposições da Lei no 11.340/2006, analise as afirmativas a seguir: I. A configuração do crime independe da competência civil ou criminal do juiz que deferiu as medidas. II. Por se tratar de crime praticado no contexto de violência doméstica e familiar contra a mulher, trata-se de infração penal inafiançável. III. A ação penal, no caso, é pública condicionada à representação da ofendida. Está correto o que se afirma em",D,"I e III, apenas.",B
pc2025_01_pn_40,"Após o conturbado término da sua relação conjugal, Maria obteve, em juízo, medidas protetivas de urgência em detrimento de Caio, seu ex-marido, proibindo-o de ter qualquer tipo de contato ou aproximação, físico ou virtual, com a ofendida. Contudo, agindo dolosamente, Caio dela se aproximou, buscando a reconciliação do casal. Caracterizou-se, assim, o crime de descumprimento de medida protetiva de urgência. De acordo com a narrativa e considerando as disposições da Lei no 11.340/2006, analise as afirmativas a seguir: I. A configuração do crime independe da competência civil ou criminal do juiz que deferiu as medidas. II. Por se tratar de crime praticado no contexto de violência doméstica e familiar contra a mulher, trata-se de infração penal inafiançável. III. A ação penal, no caso, é pública condicionada à representação da ofendida. Está correto o que se afirma em",E,"I, II e III. Direito Processual Penal",B
